"2022-02-11","11:49:04","WinControl (rev 1142) report file"
"Datetime","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR","1:NPQ","1:Fo","1:Fm","1:Fv/Fm"
"","","","D","","Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ",""
"2022-02-11 07:58:49.646","2022-02-11","07:58:49","SCHS","","Chart start ",""
"2022-02-11 08:12:58.073","2022-02-11","08:12:58","SLCS","","Light Curve start ","Ul1-1"
"2022-02-11 08:12:58.073","2022-02-11","08:12:58","REG1","","#1: alpha: 0.303, ETRm: 18.510, Ik: 61.165   ( beta: 7.418, ETRmPot: 1258.345 ) ",""
"2022-02-11 08:12:58.073","2022-02-11","08:12:58","REG2","","#1: alpha: 2.027, ETRm: 12.137, Ik: 5.988 ",""
"2022-02-11 08:12:59.810","2022-02-11","08:12:59","FO","1","161","572","0","0.719","0.0","-","161","572","0.719"
"2022-02-11 08:13:30.098","2022-02-11","08:13:30","F","2","222","424","66","0.476","13.2","0.349","161","572","0.719"
"2022-02-11 08:14:00.398","2022-02-11","08:14:00","F","3","234","398","90","0.412","15.6","0.437","161","572","0.719"
"2022-02-11 08:14:30.691","2022-02-11","08:14:30","F","4","254","383","125","0.337","17.7","0.493","161","572","0.719"
"2022-02-11 08:15:00.986","2022-02-11","08:15:00","F","5","287","374","190","0.233","18.6","0.529","161","572","0.719"
"2022-02-11 08:15:31.285","2022-02-11","08:15:31","F","6","321","371","285","0.135","16.2","0.542","161","572","0.719"
"2022-02-11 08:16:01.579","2022-02-11","08:16:01","F","7","345","366","420","0.057","10.1","0.563","161","572","0.719"
"2022-02-11 08:16:31.874","2022-02-11","08:16:31","F","8","359","363","625","0.011","2.9","0.576","161","572","0.719"
"2022-02-11 08:17:02.171","2022-02-11","08:17:02","F","9","357","360","820","0.008","2.8","0.589","161","572","0.719"
"2022-02-11 08:17:05.311","2022-02-11","08:17:05","SLCE","","Light Curve end ",""
"2022-02-11 08:17:52.035","2022-02-11","08:17:52","SLCS","","Light Curve start ","Ul1-2"
"2022-02-11 08:17:52.035","2022-02-11","08:17:52","REG1","","#1: alpha: 0.279, ETRm: 17.835, Ik: 64.038   ( beta: 0.152, ETRmPot: 48.738 ) ",""
"2022-02-11 08:17:52.035","2022-02-11","08:17:52","REG2","","#1: alpha: 1.071, ETRm: 12.537, Ik: 11.707 ",""
"2022-02-11 08:17:53.763","2022-02-11","08:17:53","FO","10","172","753","0","0.772","0.0","-","172","753","0.772"
"2022-02-11 08:18:24.057","2022-02-11","08:18:24","F","11","288","543","66","0.470","13.0","0.387","172","753","0.772"
"2022-02-11 08:18:54.350","2022-02-11","08:18:54","F","12","309","514","90","0.399","15.1","0.465","172","753","0.772"
"2022-02-11 08:19:24.653","2022-02-11","08:19:24","F","13","345","500","125","0.310","16.3","0.506","172","753","0.772"
"2022-02-11 08:19:54.943","2022-02-11","08:19:54","F","14","383","490","190","0.218","17.4","0.537","172","753","0.772"
"2022-02-11 08:20:25.239","2022-02-11","08:20:25","F","15","417","481","285","0.133","15.9","0.565","172","753","0.772"
