"2022-03-01";"10:01:06";"WinControl (rev 1142) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2022-03-01 07:55:46.007";"2022-03-01";"07:55:46";"SCHS";"";"Chart start ";""
"2022-03-01 08:05:16.815";"2022-03-01";"08:05:16";"SLCS";"";"Light Curve start ";"Ul4-1"
"2022-03-01 08:05:16.815";"2022-03-01";"08:05:16";"REG1";"";"#1: alpha: 0.286, ETRm: 15.888, Ik: 55.534   ( beta: 6.429, ETRmPot: 991.939 ) ";""
"2022-03-01 08:05:16.815";"2022-03-01";"08:05:16";"REG2";"";"#1: alpha: 1.455, ETRm: 10.025, Ik: 6.891 ";""
"2022-03-01 08:05:18.528";"2022-03-01";"08:05:18";"FO";"1";"205";"663";"0";"0.691";"0.0";"-";"205";"663";"0.691"
"2022-03-01 08:05:48.820";"2022-03-01";"08:05:48";"F";"2";"296";"554";"66";"0.466";"12.9";"0.197";"205";"663";"0.691"
"2022-03-01 08:06:19.114";"2022-03-01";"08:06:19";"F";"3";"322";"526";"90";"0.388";"14.7";"0.260";"205";"663";"0.691"
"2022-03-01 08:06:49.412";"2022-03-01";"08:06:49";"F";"4";"369";"512";"125";"0.279";"14.6";"0.295";"205";"663";"0.691"
"2022-03-01 08:07:19.710";"2022-03-01";"08:07:19";"F";"5";"411";"505";"190";"0.186";"14.8";"0.313";"205";"663";"0.691"
"2022-03-01 08:07:50.006";"2022-03-01";"08:07:50";"F";"6";"445";"497";"285";"0.105";"12.6";"0.334";"205";"663";"0.691"
"2022-03-01 08:08:20.300";"2022-03-01";"08:08:20";"F";"7";"465";"490";"420";"0.051";"9.0";"0.353";"205";"663";"0.691"
"2022-03-01 08:08:50.593";"2022-03-01";"08:08:50";"F";"8";"474";"477";"625";"0.006";"1.6";"0.390";"205";"663";"0.691"
"2022-03-01 08:09:20.892";"2022-03-01";"08:09:20";"F";"9";"469";"469";"820";"0.000";"0.0";"0.414";"205";"663";"0.691"
"2022-03-01 08:09:23.691";"2022-03-01";"08:09:23";"SLCE";"";"Light Curve end ";""
"2022-03-01 08:09:42.769";"2022-03-01";"08:09:42";"SLCS";"";"Light Curve start ";"Ul4-2"
"2022-03-01 08:09:42.769";"2022-03-01";"08:09:42";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 11.538, ETRmPot: - 463.847 ) ";""
"2022-03-01 08:09:42.769";"2022-03-01";"08:09:42";"REG2";"";"#1: alpha: 0.200, ETRm: 100.000, Ik: 500.000 ";""
"2022-03-01 08:09:44.487";"2022-03-01";"08:09:44";"FO";"10";"190";"477";"0";"0.602";"0.0";"-";"190";"477";"0.602"
"2022-03-01 08:10:14.781";"2022-03-01";"08:10:14";"F";"11";"235";"347";"66";"0.323";"9.0";"0.375";"190";"477";"0.602"
"2022-03-01 08:10:45.078";"2022-03-01";"08:10:45";"F";"12";"256";"348";"90";"0.264";"10.0";"0.371";"190";"477";"0.602"
"2022-03-01 08:11:15.373";"2022-03-01";"08:11:15";"F";"13";"286";"355";"125";"0.194";"10.2";"0.344";"190";"477";"0.602"
"2022-03-01 08:11:45.674";"2022-03-01";"08:11:45";"F";"14";"308";"350";"190";"0.120";"9.6";"0.363";"190";"477";"0.602"
"2022-03-01 08:12:15.966";"2022-03-01";"08:12:15";"F";"15";"320";"341";"285";"0.062";"7.4";"0.399";"190";"477";"0.602"
"2022-03-01 08:12:46.264";"2022-03-01";"08:12:46";"F";"16";"323";"334";"420";"0.033";"5.8";"0.428";"190";"477";"0.602"
"2022-03-01 08:13:16.558";"2022-03-01";"08:13:16";"F";"17";"321";"320";"625";"-";"-";"-";"190";"477";"0.602"
"2022-03-01 08:13:46.850";"2022-03-01";"08:13:46";"F";"18";"310";"310";"820";"0.000";"0.0";"0.539";"190";"477";"0.602"
"2022-03-01 08:13:49.884";"2022-03-01";"08:13:49";"SLCE";"";"Light Curve end ";""
"2022-03-01 08:14:36.887";"2022-03-01";"08:14:36";"SLCS";"";"Light Curve start ";"Ul4-3"
"2022-03-01 08:14:36.887";"2022-03-01";"08:14:36";"REG1";"";"#1: alpha: 0.266, ETRm: 13.901, Ik: 52.263   ( beta: 0.212, ETRmPot: 47.705 ) ";""
"2022-03-01 08:14:36.887";"2022-03-01";"08:14:36";"REG2";"";"#1: alpha: 0.627, ETRm: 11.368, Ik: 18.121 ";""
"2022-03-01 08:14:38.549";"2022-03-01";"08:14:38";"FO";"19";"220";"728";"0";"0.698";"0.0";"-";"220";"728";"0.698"
"2022-03-01 08:15:08.841";"2022-03-01";"08:15:08";"F";"20";"340";"570";"66";"0.404";"11.2";"0.277";"220";"728";"0.698"
"2022-03-01 08:15:39.132";"2022-03-01";"08:15:39";"F";"21";"359";"543";"90";"0.339";"12.8";"0.341";"220";"728";"0.698"
"2022-03-01 08:16:09.435";"2022-03-01";"08:16:09";"F";"22";"390";"523";"125";"0.254";"13.3";"0.392";"220";"728";"0.698"
"2022-03-01 08:16:39.722";"2022-03-01";"08:16:39";"F";"23";"422";"506";"190";"0.166";"13.2";"0.439";"220";"728";"0.698"
"2022-03-01 08:17:10.020";"2022-03-01";"08:17:10";"F";"24";"445";"491";"285";"0.094";"11.3";"0.483";"220";"728";"0.698"
"2022-03-01 08:17:40.319";"2022-03-01";"08:17:40";"F";"25";"459";"476";"420";"0.036";"6.4";"0.529";"220";"728";"0.698"
"2022-03-01 08:18:10.618";"2022-03-01";"08:18:10";"F";"26";"460";"459";"625";"-";"-";"-";"220";"728";"0.698"
"2022-03-01 08:18:40.905";"2022-03-01";"08:18:40";"F";"27";"446";"441";"820";"-";"-";"-";"220";"728";"0.698"
"2022-03-01 08:18:44.033";"2022-03-01";"08:18:44";"SLCE";"";"Light Curve end ";""
