"Date","Time","ID","Fv/Fm","Notes"
“2021-03-13”,”12:41:08”,”hm6-f”,”0.786”,””
“2021-03-13”,”12:59:20”,”hm1-a”,”0.436”,””
“2021-03-13”,”13:10:55”,”hm2-b”,””,””
“2021-03-13”,”13:16:35”,”hm3-c”,”0.502”,””
“2021-03-13”,”13:22:24”,”hm4-d”,”0.350”,””
“2021-03-13”,”13:27:26”,”hm5-e”,”0.415”,””
“2021-03-15”,”10:13:00”,”hm1-1”,”0.556”,””
“2021-03-15”,”10:19:57”,”hm1-2”,”0.537”,””
“2021-03-15”,”10:25:40”,”hm1-3”,”0.548”,””
“2021-03-15”,”10:31:03”,”hm1-4”,”0.579”,””
“2021-03-15”,”10:36:49”,”hm1-5”,”0.575”,””
“2021-03-15”,”10:42:01”,”hm1-6”,”0.589”,””
“2021-03-15”,”10:47:31”,”hm2-1”,”0.540”,””
“2021-03-15”,”10:53:12”,”hm2-2”,”0.545”,””
“2021-03-15”,”10:59:31”,”hm2-3”,”0.519”,””
“2021-03-15”,”11:05:01”,”hm2-4”,”0.584”,””
“2021-03-15”,”11:09:51”,”hm2-5”,”0.552”,””
“2021-03-15”,”11:14:56”,”hm2-6”,”0.605”,””
“2021-03-15”,”11:20:14”,”hm3-1”,”0.598”,””
“2021-03-15”,”11:24:54”,”hm3-2”,”0.567”,””
“2021-03-15”,”11:29:39”,”hm3-3”,”0.592”,””
“2021-03-15”,”11:37:14”,”hm3-4”,”0.566”,”bad run, very low Ft with missing data, had to start over lower on axis”
“2021-03-15”,”11:42:04”,”hm3-5”,”0.545”,””
“2021-03-15”,”11:46:54”,”hm3-6”,”0.567”,””
“2021-03-15”,”11:51:43”,”hm4-1”,”0.497”,””
“2021-03-15”,”11:56:33”,”hm4-2”,”0.555”,””
“2021-03-15”,”12:01:29”,”hm4-3”,”0.475”,””
“2021-03-15”,”12:06:03”,”hm4-4”,”0.474”,””
“2021-03-15”,”12:10:54”,”hm4-5”,”0.547”,””
“2021-03-15”,”12:15:32”,”hm4-6”,”0.570”,””
“2021-03-15”,”12:20:23”,”hm5-1”,”0.512”,””
“2021-03-15”,”12:25:00”,”hm5-2”,”0.563”,””
“2021-03-15”,”12:29:31”,”hm5-3”,”0.582”,””
“2021-03-15”,”12:34:15”,”hm5-4”,”0.518”,””
“2021-03-15”,”12:39:03”,”hm5-5”,”0.578”,””
“2021-03-15”,”12:43:46”,”hm5-6”,”0.520”,””
“2021-03-15”,”12:48:17”,”hm6-1”,”0.529”,””
“2021-03-15”,”12:52:58”,”hm6-2”,”0.574”,””
“2021-03-15”,”12:58:08”,”hm6-3”,”0.615”,””
“2021-03-15”,”13:02:47”,”hm6-4”,”0.559”,””
“2021-03-15”,”13:08:26”,”hm6-5”,”0.557”,””
“2021-03-15”,”13:13:17”,”hm6-6”,”0.511”,””
“2021-03-17”,”08:28:45”,”hm6-1”,”0.500”,””
“2021-03-17”,”08:33:30”,”hm6-2”,”0.569”,””
“2021-03-17”,”08:38:23”,”hm6-3”,”0.571”,””
“2021-03-17”,”08:43:14”,”hm6-4”,”0.569”,””
“2021-03-17”,”08:47:51”,”hm6-5”,”0.607”,”strange decrease in ETR @ 420 no disturbance”
“2021-03-17”,”08:53:07”,”hm6-6”,”0.543”,””
“2021-03-17”,”08:59:29”,”hm5-1”,”0.522”,”last SP spiked, unclear why but perhaps due to accidental movement of fiber optic”
“2021-03-17”,”09:09:54”,”hm5-2”,”0.614”,””
“2021-03-17”,”09:04:41”,”hm5-3”,”0.507”,”order switached”
“2021-03-17”,”09:14:42”,”hm5-4”,”0.528”,””
“2021-03-17”,”09:19:29”,”hm5-5”,”0.553”,””
“2021-03-17”,”09:24:34”,”hm5-6”,”0.502”,””
“2021-03-17”,”09:29:50”,”hm4-1”,”0.469”,”furry”
“2021-03-17”,”09:34:43”,”hm4-2”,”0.570”,”furry”
“2021-03-17”,”09:39:23”,”hm4-3”,”0.539”,””
“2021-03-17”,”09:44:04”,”hm4-4”,”0.538”,””
“2021-03-17”,”09:48:32”,”hm4-5”,”0.559”,””
“2021-03-17”,”09:53:17”,”hm4-6”,”0.586”,””
“2021-03-17”,”09:58:05”,”hm3-1”,”0.421”,””
“2021-03-17”,”10:02:41”,”hm3-2”,”0.506”,””
“2021-03-17”,”10:07:18”,”hm3-3”,”0.494”,””
“2021-03-17”,”10:11:55”,”hm3-4”,”0.527”,””
“2021-03-17”,”10:16:37”,”hm3-5”,”0.500”,””
“2021-03-17”,”10:21:21”,”hm3-6”,”0.592”,””
“2021-03-17”,”10:32:30”,”hm2-1”,”0.439”,””
“2021-03-17”,”10:37:05”,”hm2-2”,”0.515”,””
“2021-03-17”,”10:41:42”,”hm2-3”,”0.556”,””
“2021-03-17”,”10:48:58”,”hm2-4”,”0.573”,””
“2021-03-17”,”10:54:26”,”hm2-5”,”0.592”,””
“2021-03-17”,”10:59:14”,”hm2-6”,”0.585”,””
“2021-03-17”,”11:21:50”,”hm1-1”,”0.515”,””
“2021-03-17”,”11:26:46”,”hm1-2”,”0.421”,””
“2021-03-17”,”11:32:07”,”hm1-3”,”0.490”,””
“2021-03-17”,”11:36:51”,”hm1-4”,”0.523”,””
